generacja,najlepszy_fitness,sredni_fitness,liczba_gatunkow,czas_epoki_s,avg_fitness_informed,avg_fitness_uninformed,neat_avg_worth,bench_hold6040,bench_momentum,bench_random,pct_bond,pct_stock,pct_crypto,pct_cash,avg_trades
1655,743.36,510.79,2,2.32,454.99,566.59,5268.85,427.58,391.62,554.53,5.63,57.85,32.69,3.84,157.63
1656,746.58,485.78,2,2.14,480.78,490.79,4511.30,317.86,156.36,438.07,5.38,58.90,30.89,4.83,143.77
1657,678.36,473.80,2,2.23,452.38,495.23,4064.25,296.94,152.19,378.68,5.69,61.87,28.02,4.41,130.35
1658,646.62,460.53,2,2.21,475.80,445.26,3556.62,334.83,461.44,382.11,5.81,64.30,24.67,5.23,123.98
1659,659.93,480.83,2,2.18,473.98,487.68,4252.20,316.26,225.11,396.36,5.67,59.57,29.76,5.00,137.66
1660,622.85,477.33,2,2.18,456.77,497.89,4088.85,391.05,537.23,438.72,5.63,55.26,33.84,5.27,137.19
1661,510.30,432.07,2,2.13,435.86,428.28,2802.13,377.45,163.64,469.27,5.77,60.15,28.05,6.02,111.98
1662,550.72,435.05,2,2.11,450.02,420.07,2889.03,360.88,463.77,422.71,5.68,58.21,30.90,5.21,93.69
1663,600.95,494.00,2,2.21,530.08,457.91,4786.91,398.70,508.12,489.74,5.12,64.26,26.36,4.26,143.49
1664,695.89,446.57,2,2.22,439.49,453.66,3245.23,334.08,188.44,384.50,5.43,65.44,25.41,3.72,106.20
1665,778.65,504.65,2,3.46,469.66,539.64,5586.54,314.24,218.55,418.94,5.92,61.81,27.25,5.02,159.82
1666,685.46,467.47,2,2.32,497.28,437.66,3952.67,316.52,571.83,431.81,4.86,61.04,30.20,3.89,115.42
1667,730.23,513.60,2,2.32,555.28,471.93,5213.08,346.90,202.22,396.37,5.80,62.84,26.31,5.06,180.85
1668,754.95,498.34,2,2.45,561.71,434.97,5561.91,402.15,248.87,489.54,5.26,67.31,23.50,3.93,153.28
1669,619.17,461.58,2,2.87,473.37,449.79,3467.66,348.79,776.32,432.61,6.26,66.52,22.30,4.92,146.30
1670,913.68,507.47,2,2.51,545.66,469.28,6067.98,328.10,212.91,452.00,6.42,61.87,26.81,4.90,172.92
1671,720.42,480.00,2,2.46,502.11,457.89,4877.67,333.37,513.72,451.31,5.55,63.32,27.34,3.80,144.97
1672,749.75,434.58,2,2.21,391.09,478.08,3670.82,361.19,184.69,432.05,6.74,62.98,24.96,5.33,109.76
1673,769.17,401.23,2,2.28,442.15,360.31,2693.57,577.04,252.67,446.34,6.53,64.47,23.15,5.85,110.67
1674,735.03,471.63,2,2.27,469.87,473.39,4230.20,403.86,221.58,492.39,5.99,65.74,24.62,3.66,155.24
1675,820.56,522.79,2,2.24,568.74,476.85,6142.65,340.92,175.40,518.35,5.86,64.09,24.86,5.19,193.92
1676,790.78,478.35,2,2.18,414.97,541.73,5242.59,289.71,209.96,403.14,6.23,62.89,26.42,4.46,163.72
1677,761.47,564.15,2,2.42,559.81,568.49,7398.89,326.89,795.10,391.47,6.81,64.53,22.45,6.20,257.16
1678,996.12,626.74,2,2.38,678.00,575.47,13314.49,334.56,167.02,407.62,7.02,66.60,20.68,5.71,300.64
